iter	Passed	Remaining
0	7	7351
1	21	10496
2	32	10733
3	41	10284
4	49	9839
5	56	9400
6	65	9224
7	78	9728
8	83	9247
9	94	9337
10	108	9780
11	122	10086
12	138	10548
13	151	10703
14	159	10452
15	166	10257
16	174	10104
17	181	9890
18	188	9743
19	197	9692
20	206	9623
21	218	9729
22	229	9769
23	239	9751
24	249	9713
25	253	9511
26	268	9673
27	281	9780
28	290	9727
29	297	9634
30	308	9644
31	318	9641
32	332	9738
33	344	9790
34	358	9872
35	369	9896
36	379	9868
37	385	9756
38	394	9729
39	405	9731
40	416	9746
41	432	9862
42	443	9880
43	451	9803
44	461	9802
45	471	9768
46	483	9801
47	493	9781
48	504	9794
49	513	9760
50	522	9720
51	531	9688
52	543	9710
53	557	9765
54	564	9701
55	573	9665
56	585	9691
57	599	9730
58	609	9717
59	619	9703
60	629	9688
61	653	9883
62	662	9848
63	671	9816
64	680	9791
65	688	9747
66	696	9695
67	706	9681
68	717	9682
69	728	9675
70	734	9604
71	745	9605
72	756	9600
73	767	9609
74	781	9638
75	793	9649
76	807	9682
77	819	9685
78	828	9659
79	843	9702
80	857	9730
81	866	9696
82	883	9759
83	894	9759
84	904	9739
85	914	9716
86	928	9744
87	935	9695
88	943	9657
89	953	9644
90	965	9643
91	976	9635
92	984	9600
93	995	9590
94	1004	9573
95	1011	9525
96	1018	9478
97	1029	9471
98	1040	9471
99	1052	9476
100	1062	9461
101	1073	9450
102	1081	9419
103	1090	9398
104	1102	9395
105	1110	9365
106	1119	9346
107	1130	9334
108	1139	9315
109	1150	9307
110	1158	9279
111	1169	9273
112	1179	9255
113	1188	9234
114	1199	9232
115	1204	9177
116	1215	9176
117	1227	9178
118	1237	9165
119	1245	9131
120	1253	9106
121	1266	9114
122	1277	9108
123	1288	9099
124	1297	9085
125	1307	9068
126	1319	9072
127	1328	9050
128	1340	9051
129	1352	9053
130	1362	9037
131	1373	9031
132	1383	9018
133	1398	9037
134	1410	9035
135	1415	8993
136	1424	8973
137	1432	8947
138	1441	8930
139	1452	8922
140	1460	8897
141	1473	8900
142	1484	8896
143	1490	8861
144	1500	8846
145	1512	8849
146	1519	8819
147	1531	8814
148	1544	8818
149	1555	8812
150	1564	8796
151	1576	8796
152	1589	8797
153	1598	8781
154	1606	8755
155	1616	8745
156	1628	8744
157	1637	8726
158	1651	8734
159	1659	8710
160	1675	8730
161	1684	8713
162	1701	8739
163	1712	8727
164	1722	8718
165	1737	8731
166	1747	8718
167	1755	8694
168	1763	8669
169	1772	8654
170	1784	8650
171	1793	8635
172	1802	8618
173	1814	8615
174	1828	8621
175	1837	8603
176	1849	8600
177	1864	8612
178	1872	8588
179	1879	8561
180	1890	8552
181	1902	8552
182	1912	8539
183	1920	8517
184	1930	8504
185	1938	8485
186	1949	8477
187	1962	8476
188	1976	8479
189	1986	8467
190	1995	8451
191	2007	8449
192	2017	8434
193	2027	8423
194	2036	8408
195	2049	8407
196	2060	8400
197	2071	8389
198	2079	8369
199	2092	8371
200	2101	8354
201	2110	8336
202	2120	8324
203	2131	8318
204	2138	8294
205	2153	8301
206	2162	8285
207	2173	8277
208	2183	8262
209	2194	8256
210	2205	8247
211	2213	8227
212	2222	8213
213	2233	8203
214	2247	8207
215	2258	8196
216	2274	8205
217	2281	8185
218	2291	8172
219	2307	8181
220	2320	8180
221	2344	8216
222	2363	8234
223	2371	8214
224	2386	8218
225	2396	8206
226	2409	8203
227	2422	8202
228	2438	8209
229	2451	8208
230	2463	8200
231	2474	8191
232	2490	8197
233	2503	8196
234	2523	8213
235	2538	8218
236	2550	8209
237	2561	8199
238	2572	8191
239	2582	8177
240	2594	8172
241	2603	8154
242	2616	8150
243	2628	8145
244	2639	8134
245	2648	8119
246	2664	8122
247	2676	8115
248	2684	8098
249	2692	8076
250	2703	8066
251	2714	8057
252	2725	8047
253	2736	8035
254	2747	8026
255	2755	8008
256	2763	7990
257	2778	7989
258	2788	7978
259	2801	7973
260	2814	7967
261	2823	7953
262	2834	7942
263	2844	7930
264	2859	7932
265	2870	7919
266	2887	7927
267	2897	7913
268	2906	7898
269	2913	7877
270	2924	7867
271	2940	7870
272	2952	7863
273	2966	7859
274	2987	7877
275	2997	7864
276	3010	7858
277	3018	7839
278	3028	7827
279	3039	7814
280	3051	7807
281	3066	7807
282	3081	7808
283	3096	7806
284	3107	7795
285	3124	7799
286	3142	7805
287	3150	7788
288	3161	7778
289	3168	7758
290	3177	7741
291	3186	7725
292	3196	7712
293	3212	7713
294	3222	7700
295	3235	7694
296	3248	7689
297	3260	7681
298	3269	7666
299	3285	7666
300	3292	7645
301	3303	7635
302	3312	7620
303	3322	7605
304	3339	7609
305	3353	7605
306	3363	7592
307	3372	7577
308	3385	7570
309	3395	7557
310	3409	7553
311	3419	7539
312	3433	7536
313	3458	7556
314	3473	7554
315	3480	7534
316	3489	7518
317	3497	7500
318	3505	7483
319	3519	7478
320	3527	7462
321	3537	7448
322	3549	7439
323	3559	7427
324	3570	7416
325	3584	7411
326	3594	7397
327	3605	7387
328	3617	7377
329	3629	7369
330	3639	7354
331	3649	7342
332	3658	7327
333	3670	7319
334	3685	7316
335	3696	7305
336	3703	7285
337	3713	7273
338	3723	7259
339	3731	7244
340	3738	7225
341	3747	7209
342	3756	7194
343	3769	7189
344	3780	7178
345	3792	7168
346	3801	7153
347	3813	7145
348	3828	7141
349	3837	7126
350	3854	7126
351	3866	7118
352	3876	7105
353	3887	7094
	3864	7176
350	3874	7164
351	3891	7164
352	3902	7151
353	3915	7144
354	3926	7134
355	3938	7124
356	3950	7115
357	3960	7102
358	3970	7089
359	3977	7070
360	3988	7059
361	4000	7049
362	4012	7040
363	4023	7029
364	4034	7019
365	4050	7017
366	4064	7009
367	4071	6992
368	4081	6978
369	4088	6961
370	4096	6945
371	4106	6932
372	4119	6924
6	3972	6565
377	3983	6555
378	3993	6543
379	4004	6533
380	4015	6523
381	4031	6521
382	4043	6514
383	4050	6497
384	4062	6490
	6400
384	4003	6395
385	4010	6379
386	4020	6368
387	4029	6355
388	4036	6340
389	4046	6329
390	4053	6314
391	4063	6303
392	4075	6295
393	4086	6284
394	4097	6276
395	4125	6292
396	4138	6285
397	4149	6277
398	4158	6264
399	4167	6251
400	4186	6253
401	4198	6245
402	4209	6236
403	4225	6233
404	4233	6219
405	4244	6210
406	4258	6204
407	4266	6189
408	4278	6182
409	4287	6170
410	4303	6166
411	4315	6158
412	4324	6145
413	4333	6133
414	4347	6128
415	4356	6116
416	4365	6102
417	4377	6094
418	4393	6091
419	4399	6075
420	4405	6059
421	4423	6058
422	4431	6044
423	4441	6033
424	4452	6024
425	4460	6010
426	4476	6006
427	4486	5995
428	4500	5990
429	4511	5980
430	4521	5969
431	4531	5958
432	4546	5953
5
437	4678	6002
438	4692	5996
439	4703	5985
440	4716	5978
441	4724	5964
442	4734	5952
443	4744	5941
444	4755	5930
445	4766	5920
446	4776	5909
447	4787	5898
448	4798	5889
449	4806	5874
450	4817	5864
451	4830	5856
452	4841	5846
453	4855	5838
454	4863	5825
455	4873	5814
456	4887	5806
457	4898	5796
458	4906	5783
459	4915	5770
460	4925	5758
461	4934	5746
462	4943	5733
463	4956	5725
464	4966	5714
465	4980	5707
466	4988	5692
467	4997	5681
468	5007	5669
469	5016	5657
2	5308	6156
463	5325	6152
464	5333	6136
465	5341	6121
466	5352	6108
467	5367	6101
468	5384	6096
469	5393	6081
470	5403	6068
471	5414	6056
472	5424	6043
473	5434	6031
474	5446	6019
475	5464	6015
476	5477	6005
477	5487	5993
478	5501	5984
479	5512	5971
480	5520	5956
481	5531	5944
482	5545	5935
483	5558	5926
484	5571	5916
	5978
484	5621	5969
485	5633	5957
486	5646	5948
487	5660	5938
488	5672	5927
489	5680	5912
490	5694	5902
491	5703	5889
492	5719	5882
4	5709	493	5495	5723	494	5496	5734	5804
818
	5866
496	5781	5851
497	5791	5838
498	5805	5828
499	5816	5816
5635
506	5781	5621
507	5793	5611
508	5805	5600
509	5813	5585
0	5602
510	5840	5588
511	5850	5576
512	5861	5564
513	5872	5553
438
519	5875	5423
520	5885	5411
521	5899	5402
522	5909	5389
523	5919	5377
524	5932	5367
525	5944	5357
526	5953	5343
527	5964	5331
528	5973	5318
529	5982	5305
530	5990	5291
531	6002	5280
532	6012	5267
533	6025	5258
7	5264
535	6070	5254
536	6085	5247
537	6096	5235
538	6106	5222
539	6116	5210
540	6131	5201
541	6142	5190
542	6154	5179
543	6165	5168
544	6176	5156
545	6195	5151
546	6210	5143
547	6223	5133
548	6233	5121
549	6249	5113
0	6188	5042
551	6198	5030
552	6209	5019
553	6223	5009
554	6240	5003
555	6253	4993
556	6261	4980
557	6270	4967
558	6285	4958
559	6299	4949
560	6309	4937
561	6321	4926
562	6337	4919
563	6367	4922
564	6382	4913
565	6389	4899
566	6400	4887
567	6409	4874
568	6423	4865
569	6433	4853
570	6442	4840
571	6453	4829
572	6463	4816
573	6472	4803
574	6485	4793
575	6495	4781
576	6505	4769
577	6514	4756
578	6523	4743
579	6543	4738
580	6556	4728
581	6567	4716
582	6580	4707
583	6590	4694
584	6601	4682
585	6611	4671
586	6621	4658
587	6629	4645
588	6639	4633
589	6648	4619
590	6658	4608
591	6670	4597
592	6679	4584
593	6689	4572
594	6697	4558
595	6705	4545
596	6714	4532
597	6727	4522
598	6737	4510
599	6750	4500
600	6761	4488
601	6770	4476
602	6782	4465
